,Экология в целом,Климат,Энергия,Воздух,Вода,Отходы и циклическая экономика,Биоразнообразие,Рекультивация земель,Экологичность продукта,!Персонал в целом,Обучение и развитие,Сотрудники. Вовлеченность и мот,Оплата труда,Сотрудники. Здоровье и благопол,Сотрудники. Наем и увольнение,Сотрудники. Корпоративная культ,Сотрудники. Безопасность и охра,Сотрудники. Профсоюз и Коллекти,Потребители. Доступность,Потребители. Сервис и коммуника,Потребители. Персональные данны,Потребители. Здоровье и благопо,"Потребители. Маркетинг, продажи",Потребители. Удовлетворенность,Потребители. Качество и безопас,Потребители. Ценовая политика,Поставщики в целом,Малый и локальный бизнес,Поставщики. Работники,Поставщики. Экология,Закупки и антикоррупция,Заинтересованные стороны,Коренные народы и местные сообщ,Сотрудники. Волонтерство,Социальные инвестиции и благотв,Отчетность и прозрачность,Отношения с инвесторами,!Инновации,!Кибербезопасность,Права человека,Лидерство,Риски,Этика и антикоррупция,Корпоративное управление,Устойчивое развитие
воздействие,-76.0,-76.0,-76.0,-35.0,-51.0,-59.0,-76.0,-76.0,-71.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-75.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-64.0,-75.0,-60.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,-75.0,-35.0,-76.0,-76.0
окружающая среда,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
природа,-16.0,-16.0,-16.0,13.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-15.0,-16.0,-12.0
природоохранный,-20.0,-20.0,-20.0,-15.0,-16.0,-12.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,5.0,-20.0,-20.0
экологический,-66.0,-66.0,-66.0,-53.0,-62.0,-49.0,-66.0,-66.0,-54.0,-65.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-65.0,-62.0,-65.0,-66.0,-65.0,-66.0,-66.0,-65.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-65.0,-58.0,-66.0,-66.0,-65.0,-66.0,-66.0,-66.0,-66.0,-65.0,-66.0,-54.0,-1.0,-66.0,-66.0
экологичный,-8.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-8.0,-8.0,-7.0,-8.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-3.0,-7.0,-4.0,-8.0
влияние,-46.0,-46.0,-46.0,-30.0,-34.0,-38.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-42.0,-46.0,-42.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-42.0,-38.0,-46.0,-21.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-33.0,-46.0,-46.0
документ,-52.0,-52.0,-52.0,-52.0,-48.0,-52.0,-52.0,-52.0,-48.0,-52.0,-44.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-44.0,-52.0,-52.0,-52.0,-48.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-36.0,-52.0,-40.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-27.0,-48.0,-32.0
документация,-12.0,-12.0,-12.0,-12.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-8.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-3.0,-12.0,-12.0
защита,-32.0,-32.0,-32.0,-28.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-20.0,-32.0,-32.0,-32.0,-32.0,-32.0,-31.0,-28.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-31.0,-32.0,-32.0,-32.0,-4.0,-32.0,-27.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-31.0,-31.0,-32.0,-28.0,-27.0,-32.0,-28.0
