,text,topic,original_text
0,соответствие внутренний документ компания структура корпоративный управление включать общий собрание акционер высокий орган управление принимать решение основный вопрос деятельность компания совет директор орган который осуществлять общий руководство деятельность компания исключение вопрос отнести устав компетенция общий собрание акционер комитет совет директор консультативный орган совет директор сформировать предварительный рассмотрение наиболее важный вопрос деятельность компания исполнительный орган президент председатель правление правление осуществлять оперативный управление текущий деятельность обеспечивать эффективный работа компания реализовать поставить совет директор задача корпоративный секретарь обеспечивать взаимодействие акционер координация действие компания защита право интерес акционер также поддержка работа совет директор внутренний аудит который осуществлять контроль деятельность компания,Корпоративное управление,"в соответствии с внутренними документами компании структура корпоративного управления нлмк включает в себя: ▶ общее собрание акционеров – высший орган управления нлмк, принимающий решения по основным вопросам деятельности компании; ▶ совет директоров — орган, который осуществляет общее руководство деятельностью компании, за исключением вопросов, отнесенных уставом нлмк к компетенции общего собрания акционеров; ▶ комитеты совета директоров — консультативные органы совета директоров, сформированные для предварительного рассмотрения наиболее важных вопросов деятельности компании; ▶ исполнительные органы – президент (председатель правления), правление — осуществляют оперативное управление текущей деятельностью и обеспечивают эффективную работу компании, реализуя поставленные советом директоров задачи; ▶ корпоративного секретаря, обеспечивающего взаимодействие с акционерами, координацию действий компании по защите прав и интересов акционеров, а также поддержку работы совета директоров; ▶ внутренний аудит, который осуществляет контроль за финансово-хозяйственной деятельностью компании."
1,прошедшее 2022 год собрание успешно применяться практика электронный голосование позволять акционер голосовать независимо место учёт право акционер войти наиболее активный пользователь сервис электронный голосование нрд продолжить успешный применение запустить удобство акционер дополнительный сервис электронный голосование сайт регистратор который акционер смочь воспользоваться годовой общий собрание 30 июнь 2022 год внеочередной общий собрание 31 декабрь 2022 год,Корпоративное управление,"на прошедших в 2022 году собраниях успешно применялась практика электронного голосования, позволяющая акционерам голосовать независимо от места учета их прав. акционеры нлмк вошли в топ-5 наиболее активных пользователей сервиса электронного голосования e-voting (нрд). продолжено успешное применение запущенного для удобства акционеров дополнительного сервиса электронного голосования на сайте регистратора нлмк, которым акционеры смогли воспользоваться на годовом общем собрании 30 июня 2022 года и внеочередном общем собрании 31 декабря 2022 года."
2,организация система корпоративный управление компания руководствоваться хороший международный российский практика частность рекомендация кодекс корпоративный управление утвердить банк россия кодекс корпоративный управление великобритания the uk corporate governance code кодекс корпоративный управление закрепить принцип который компания придерживаться свой деятельность эффективный прозрачный механизм обеспечение право интерес акционер равный отношение к весь акционер реализация право акционер участие управление компания высокий уровень взаимодействие весь заинтересованный сторона включая заказчик поставщик сотрудник профессиональный сообщество повышение рыночный стоимость акция компания,Корпоративное управление,"при организации системы корпоративного управления компания руководствуется лучшими международными и российскими практиками, в частности рекомендациями кодекса корпоративного управления, утвержденного банком россии, и кодекса корпоративного управления великобритании (the uk corporate governance code).   в кодексе корпоративного управления пао «северсталь» закреплены принципы, которых компания придерживается в своей деятельности: • эффективные и прозрачные механизмы обеспечения прав и интересов акционеров; • равное отношение ко всем акционерам; • реализация прав акционеров на участие в управлении компанией; • высокий уровень взаимодействия со всеми заинтересованными сторонами, включая заказчиков, поставщиков, сотрудников и профессиональные сообщества; • повышение рыночной стоимости акций компании. "
3,корпоративный управление выстроить учёт рекомендация кодекс корпоративный управление банк россия правило листинг московский биржа структура корпоративный управление соответствовать хороший российский практика число связанный управление устойчивый развитие корпоративный управление осуществляться общий собрание акционер совет директор правление генеральный директор функция корпоративный секретарь осуществлять исполнительный секретарь совет директор,Корпоративное управление,"система корпоративного управления выстроена с учетом рекомендаций кодекса корпоративного управления банка россии и правил листинга московской биржи. структура корпоративного управления пао «аэрофлот» соответствует лучшим российским практикам, в том числе связанным с управлением устойчивым развитием. корпоративное управление в пао «аэрофлот» осуществляется общим собранием акционеров, советом директоров, правлением, генеральным директором. функцию корпоративного секретаря в пао«аэрофлот» осуществляет исполнительный секретарь совета директоров."
4,segezha group неукоснительно соблюдать российский законодательство развивать система корпоративный управление соответствие хороший мировой практика компания стремиться повышать эффективность система корпоративный управление обеспечивать уверенность заинтересованный сторона обоснованность последовательность принятие решение исполнение стратегия компания segezha group внедрить соблюдаться следующий принцип корпоративный управление защита право акционер участник существенный корпоративный действие принятие взвесить реалистичный стратегия развитие контроль реализация повышение эффективность работа сформировать орган управление контроль создание система эффективный управление риск предотвращение конфликт интерес внедрение этический принцип реализация корпоративный стратегия высокий социальный ответственность проведение эффективный система управление дочерний общество разработка принцип политика вознаграждение,Корпоративное управление,segezha group неукоснительно соблюдает российское законодательство и развивает систему корпоративного управления в соответствии с лучшими мировыми практиками. компания стремится повышать эффективность системы корпоративного управления и обеспечивать уверенность заинтересованных сторон в обоснованности и последовательности принятия решений и исполнения стратегии компании. в segezha group внедрены и соблюдаются следующие принципы корпоративного управления: ○ защита прав акционеров (участников) при существенных корпоративных действиях; ○ принятие взвешенной и реалистичной стратегии развития и контроль за реализацией; ○ повышение эффективности работы сформированных органов управления и контроля; ○ создание систем эффективного управления рисками и предотвращения конфликтов интересов; ○ внедрение этических принципов; ○ реализация корпоративной стратегии высокой социальной ответственности; ○ проведение эффективной системы управления дочерними обществами; ○ разработка принципов политики вознаграждения топ-менеджеров.
5,совет директор осуществлять общий руководство деятельность компания исключение решение вопрос отнести устав законодательство российский федерация компетенция общий собрание акционер порядок работа совет директор определяться положение совет директор утвердить общий собрание акционер,Корпоративное управление,"совет директоров осуществляет общее руководство деятельностью компании, за исключением решения вопросов, отнесенных уставом и законодательством российской федерации к компетенции общего собрания акционеров. порядок работы совета директоров определяется положением о совете директоров, утвержденным общим собранием акционеров."
6,основной задача комитет являться предварительный рассмотрение вопрос отнести компетенция совет директор выработка рекомендация вопрос стратегический планирование развитие группа ренессанс страхование компания группа разработка определение приоритетный направление деятельность общество компания группа осуществление существенный корпоративный действие реорганизация общество компания группа выпуск ценный бумага приобретение 30 процент голосовать акция общество увеличение уменьшение уставный капитал общество проведение листинг делистинг ценный бумага приобретение публичный статус участие общество иной организация иной стратегический вопрос рамка стратегия развитие общество компания группа предусмотренный положение комитет поручение совет директор течение 2022 год заседание комитет проводиться правление общество являться коллегиальный исполнительный орган общество течение 2022 год компетенция порядок осуществление деятельность правление общество определяться устав общество также положение правление общество 2022 год созвать четыре заседание правление число следующий вопрос утверждение внутренний документ общество изменение состав комитет риск общество утверждение лимит собственный удержание общество рассмотрение отчёт результат реализация правило внутренний контроль общество цель противодействие легализация отмывание доход получить преступный путём финансирование терроризм финансирование распространение оружие массовый уничтожение 2021 год избрание секретарь правление общество изменение адрес филиал общество г. владимир г. тула утверждение положение филиал новый редакция предварительный утверждение годовой отчёт общество годовой бухгалтерский финансовый отчётность общество 2021 год,Корпоративное управление,"основной задачей комитета является предварительное рассмотрение вопросов, отнесенных к компетенции совета директоров, и выработка для него рекомендаций по вопросам:  стратегического планирования и развития пао «группа ренессанс страхование» и компаний группы, разработки и определения приоритетных направлений деятельности общества и компаний группы;  осуществления существенных корпоративных действий: реорганизации общества и компаний группы, выпуска ценных бумаг, приобретения 30 и более процентов голосующих акций общества, увеличения или уменьшения уставного капитала общества, проведения листинга или делистинга ценных бумаг, приобретения публичного статуса и участия общества в иных организациях;  иным стратегическим вопросам в рамках стратегии развития общества и компаний группы, не предусмотренным положением о комитете, по поручению совета директоров. в течение 2022 года заседаний комитета не проводилось. правление общества является коллегиальным исполнительным органом общества. в течение 2022 года компетенция и порядок осуществления деятельности правления общества определялись уставом общества, а также положением о правлении общества. в 2022 году было созвано четыре заседания правления, в том числе по следующим вопросам:  утверждение внутренних документов общества;  изменение состава комитета по рискам общества;  утверждение лимитов собственного удержания общества;  рассмотрение отчета о результатах реализации правил внутреннего контроля общества в целях противодействия легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения в 2021 году; избрание секретаря правления общества;  изменение адресов филиалов общества в г. владимире и г. туле и утверждение положений о филиалах в новой редакции;  предварительное утверждение годового отчета общества и годовой бухгалтерской (финансовой) отчетности общества за 2021 год."
7,дата выпуск настоящий отчёт состав совет директор компания входить исполнительный директор семь директор исполнительный полномочие шесть член совет директор являться независимый директор исполнительный полномочие,Корпоративное управление,на дату выпуска настоящего отчета в состав совета директоров компании входят один исполнительный директор и семь директоров без исполнительных полномочий. шесть членов совета директоров являются независимыми директорами без исполнительных полномочий.
8,общий собрание акционер высокий орган управление компания принимать решение основный вопрос деятельность генеральный директор правление коллегиальный исполнительный орган осуществлять оперативный управление текущий деятельность обеспечивать эффективный работа компания реализовать задача число поставить совет директор совет директор орган осуществлять общий стратегический руководство деятельность компания число область устойчивый развитие контролировать исполнение решение общий собрание акционер деятельность исполнительный орган интерес общество акционер определять основной принцип подход организация система управление риск внутренний контроль также система внутренний аудит корпоративный секретарь лицо подконтрольный подотчётный непосредственно совет директор общество административно подчиняться генеральный директор общество корпоративный секретарь рамка свой полномочие обеспечивать взаимодействие акционер координация действие компания защита право интерес акционер также поддержка работа совет директор комитет совет директор консультативный орган сформировать предварительный рассмотрение наиболее важный вопрос деятельность компания повышение эффективность принимать совет директор решение ревизионный комиссия постоянно действовать орган осуществлять контроль деятельность компания ежегодно избираться общий собрание акционер,Корпоративное управление,"общее собрание акционеров высший орган управления компании, принимающий решения по основным вопросам ее деятельности. генеральный директор и правление коллегиальный исполнительный орган, осуществляющий оперативное управление текущей деятельностью и обеспечивающий эффективную работу компании, реализуя задачи в том числе поставленные советом директоров. совет директоров орган, осуществляющий общее стратегическое руководство деятельностью компании, в том числе в области устойчивого развития, контролирующий исполнение решений общего собрания акционеров и деятельность исполнительных органов в интересах общества и акционеров, определяющий основные принципы и подходы к организации систем управления рисками и внутреннего контроля, а также системы внутреннего аудита. корпоративный секретарь лицо, подконтрольное и подотчетное непосредственно совету директоров общества, административно подчиняющееся генеральному директору общества. корпоративный секретарь в рамках своих полномочий обеспечивает взаимодействие с акционерами, координацию действий компании по защите прав и интересов акционеров, а также поддержку работы совета директоров. комитеты совета директоров консультативные органы, сформированные для предварительного рассмотрения наиболее важных вопросов деятельности компании и повышения эффективности принимаемых советом директоров решений. ревизионная комиссия постоянно действующий орган, осуществляющий контроль за финансово-хозяйственной деятельностью компании, ежегодно избирается общим собранием акционеров."
9,группа контролировать выброс зв атмосфера помощь разработать группа система производственный экологический мониторинг пэм помощь группа получать дать экологический ситуация зона влияние производственный объект анализировать экологический обстановка процесс деятельность разрабатывать отслеживать ход реализация природоохранный мероприятие,Воздух,"группа газпром контролирует выбросы зв в атмосферу при помощи разработанной в группе системы производственного экологического мониторинга (пэм). с ее помощью группа получает данные об экологической ситуации в зоне влияния производственных объектов, анализирует экологическую обстановку в процессе производственно-хозяйственной деятельности, разрабатывает и отслеживает ход реализации природоохранных мероприятий."
