,original_text,cleaned_text,true_expert
0,"в соответствии с внутренними документами компании структура корпоративного управления нлмк включает в себя: ▶ общее собрание акционеров – высший орган управления нлмк, принимающий решения по основным вопросам деятельности компании; ▶ совет директоров — орган, который осуществляет общее руководство деятельностью компании, за исключением вопросов, отнесенных уставом нлмк к компетенции общего собрания акционеров; ▶ комитеты совета директоров — консультативные органы совета директоров, сформированные для предварительного рассмотрения наиболее важных вопросов деятельности компании; ▶ исполнительные органы – президент (председатель правления), правление — осуществляют оперативное управление текущей деятельностью и обеспечивают эффективную работу компании, реализуя поставленные советом директоров задачи; ▶ корпоративного секретаря, обеспечивающего взаимодействие с акционерами, координацию действий компании по защите прав и интересов акционеров, а также поддержку работы совета директоров; ▶ внутренний аудит, который осуществляет контроль за финансово-хозяйственной деятельностью компании.",соответствие внутренний документ компания структура корпоративный управление включать общий собрание акционер высокий орган управление принимать решение основный вопрос деятельность компания совет директор орган который осуществлять общий руководство деятельность компания исключение вопрос отнести устав компетенция общий собрание акционер комитет совет директор консультативный орган совет директор сформировать предварительный рассмотрение наиболее важный вопрос деятельность компания исполнительный орган президент председатель правление правление осуществлять оперативный управление текущий деятельность обеспечивать эффективный работа компания реализовать поставить совет директор задача корпоративный секретарь обеспечивать взаимодействие акционер координация действие компания защита право интерес акционер также поддержка работа совет директор внутренний аудит который осуществлять контроль деятельность компания,Корпоративное управление
1,"в 2022 году компания продолжила совершенствовать систему корпоративного управления, обеспечивая ее соответствие мировым стандартам, уделяя особое внимание защите прав и интересов акционеров и инвесторов в условиях значительных регуляторных изменений и связанных с ними рисков. по результатам 2022 года нлмк соблюдает все принципы кодекса корпоративного управления: 70 принципов (89%) — полностью, 9 — частично. в качестве методологии для оценки соблюдения принципов корпоративного управления компания использует рекомендации банка россии по составлению отчета о соблюдении кодекса корпоративного управления.",2022 год компания продолжить совершенствовать система корпоративный управление обеспечивать соответствие мировой стандарт уделять особый внимание защита право интерес акционер инвестор условие значительный регуляторный изменение связанный они риск результат 2022 год соблюдать принцип кодекс корпоративный управление 70 принцип 89 полностью 9 частично качество методология оценка соблюдение принцип корпоративный управление компания использовать рекомендация банк россия составление отчёт соблюдение кодекс корпоративный управление,Корпоративное управление
2,"на прошедших в 2022 году собраниях успешно применялась практика электронного голосования, позволяющая акционерам голосовать независимо от места учета их прав. акционеры нлмк вошли в топ-5 наиболее активных пользователей сервиса электронного голосования e-voting (нрд). продолжено успешное применение запущенного для удобства акционеров дополнительного сервиса электронного голосования на сайте регистратора нлмк, которым акционеры смогли воспользоваться на годовом общем собрании 30 июня 2022 года и внеочередном общем собрании 31 декабря 2022 года.",прошедшее 2022 год собрание успешно применяться практика электронный голосование позволять акционер голосовать независимо место учёт право акционер войти наиболее активный пользователь сервис электронный голосование нрд продолжить успешный применение запустить удобство акционер дополнительный сервис электронный голосование сайт регистратор который акционер смочь воспользоваться годовой общий собрание 30 июнь 2022 год внеочередной общий собрание 31 декабрь 2022 год,Корпоративное управление
3,"при организации системы корпоративного управления компания руководствуется лучшими международными и российскими практиками, в частности рекомендациями кодекса корпоративного управления, утвержденного банком россии, и кодекса корпоративного управления великобритании (the uk corporate governance code).   в кодексе корпоративного управления пао «северсталь» закреплены принципы, которых компания придерживается в своей деятельности: • эффективные и прозрачные механизмы обеспечения прав и интересов акционеров; • равное отношение ко всем акционерам; • реализация прав акционеров на участие в управлении компанией; • высокий уровень взаимодействия со всеми заинтересованными сторонами, включая заказчиков, поставщиков, сотрудников и профессиональные сообщества; • повышение рыночной стоимости акций компании. ",организация система корпоративный управление компания руководствоваться хороший международный российский практика частность рекомендация кодекс корпоративный управление утвердить банк россия кодекс корпоративный управление великобритания the uk corporate governance code кодекс корпоративный управление закрепить принцип который компания придерживаться свой деятельность эффективный прозрачный механизм обеспечение право интерес акционер равный отношение к весь акционер реализация право акционер участие управление компания высокий уровень взаимодействие весь заинтересованный сторона включая заказчик поставщик сотрудник профессиональный сообщество повышение рыночный стоимость акция компания,Корпоративное управление
4,"система корпоративного управления выстроена с учетом рекомендаций кодекса корпоративного управления банка россии и правил листинга московской биржи. структура корпоративного управления пао «аэрофлот» соответствует лучшим российским практикам, в том числе связанным с управлением устойчивым развитием. корпоративное управление в пао «аэрофлот» осуществляется общим собранием акционеров, советом директоров, правлением, генеральным директором. функцию корпоративного секретаря в пао«аэрофлот» осуществляет исполнительный секретарь совета директоров.",корпоративный управление выстроить учёт рекомендация кодекс корпоративный управление банк россия правило листинг московский биржа структура корпоративный управление соответствовать хороший российский практика число связанный управление устойчивый развитие корпоративный управление осуществляться общий собрание акционер совет директор правление генеральный директор функция корпоративный секретарь осуществлять исполнительный секретарь совет директор,Корпоративное управление
5,"общее руководство деятельностью группы осуществляет совет директоров пао«аэрофлот». совет директоров отвечает за определение стратегических направлений развития группы, в том числе в области устойчивого развития, контроль деятельности исполнительных органов, формирование дивидендной политики, а также поддержание эффективных систем управления рисками и внутреннего аудита. вотчетном периоде был избран новый состав совета директоров пао«аэрофлот», в который входили 11 членов, трое из них являются независимыми, семеро – неисполнительными. средний возраст членов совета директоров – 52 года.",общий руководство деятельность группа осуществлять совет директор совет директор отвечать определение стратегический направление развитие группа число область устойчивый развитие контроль деятельность исполнительный орган формирование дивидендный политика также поддержание эффективный система управление риск внутренний аудит вотчётный период избрать новый состав совет директор который входить 11 член трое являться независимый семеро неисполнительный средний возраст член совет директор 52 год,Корпоративное управление
6,segezha group неукоснительно соблюдает российское законодательство и развивает систему корпоративного управления в соответствии с лучшими мировыми практиками. компания стремится повышать эффективность системы корпоративного управления и обеспечивать уверенность заинтересованных сторон в обоснованности и последовательности принятия решений и исполнения стратегии компании. в segezha group внедрены и соблюдаются следующие принципы корпоративного управления: ○ защита прав акционеров (участников) при существенных корпоративных действиях; ○ принятие взвешенной и реалистичной стратегии развития и контроль за реализацией; ○ повышение эффективности работы сформированных органов управления и контроля; ○ создание систем эффективного управления рисками и предотвращения конфликтов интересов; ○ внедрение этических принципов; ○ реализация корпоративной стратегии высокой социальной ответственности; ○ проведение эффективной системы управления дочерними обществами; ○ разработка принципов политики вознаграждения топ-менеджеров.,segezha group неукоснительно соблюдать российский законодательство развивать система корпоративный управление соответствие хороший мировой практика компания стремиться повышать эффективность система корпоративный управление обеспечивать уверенность заинтересованный сторона обоснованность последовательность принятие решение исполнение стратегия компания segezha group внедрить соблюдаться следующий принцип корпоративный управление защита право акционер участник существенный корпоративный действие принятие взвесить реалистичный стратегия развитие контроль реализация повышение эффективность работа сформировать орган управление контроль создание система эффективный управление риск предотвращение конфликт интерес внедрение этический принцип реализация корпоративный стратегия высокий социальный ответственность проведение эффективный система управление дочерний общество разработка принцип политика вознаграждение,Корпоративное управление
7,первоначальная редакция кодекса корпоративного управления пао «совкомфлот» (кодекс корпоративного поведения пао «совкомфлот) была утверждена советом директоров 22 февраля 2007 года (протокол № 80).,первоначальный редакция кодекс корпоративный управление совкомфлот кодекс корпоративный поведение совкомфлот утвердить совет директор 22 февраль 2007 год протокол 80,Корпоративное управление
8,"действующий кодекс корпоративного управления пао «совкомфлот» разработан на основе федерального закона «об акционерных обществах», устава и иных внутренних документов общества, рекомендаций кодекса корпоративного управления, одобренного банком россии (письмо банка россии от 10 апреля 2014 года № 06–52/2463), рекомендаций «принципов корпоративного управления организации экономического сотрудничества и развития (оэср)» и требований к листингу российских и зарубежных фондовых бирж и утвержден решением совета директоров пао «совкомфлот» от 10 ноября 2015 года (протокол № 149).",действовать кодекс корпоративный управление совкомфлот разработать основа федеральный закон акционерный общество устав иной внутренний документ общество рекомендация кодекс корпоративный управление одобрить банк россия письмо банк россия 10 апрель 2014 год 06–52/2463 рекомендация принцип корпоративный управление организация экономический сотрудничество развитие оэср требование листинг российский зарубежный фондовый биржа утвердить решение совет директор совкомфлот 10 ноябрь 2015 год протокол 149,Корпоративное управление
9,"кодекс корпоративного управления общества является сводом правил, стандартов и внутренних норм, используемых пао «совкомфлот» в процессе своей деятельности и основанных на сбалансированном учете интересов акционеров общества, его органов управления и иных заинтересованных лиц. целью кодекса корпоративного управления является обеспечение высокого уровня корпоративного управления, профессиональной и деловой этики, необходимых для реализации стратегических целей и задач, определенных уставом и другими внутренними документами общества.",кодекс корпоративный управление общество являться свод правило стандарт внутренний норма использовать совкомфлот процесс свой деятельность основать сбалансированный учёт интерес акционер общество орган управление иной заинтересованный лицо цель кодекс корпоративный управление являться обеспечение высокий уровень корпоративный управление профессиональный деловой этика необходимый реализация стратегический цель задача определённый устав другой внутренний документ общество,Корпоративное управление
