index,company,env,social,gov,all_letters,on_letters
0,Lenenergo,0.39,0.32,0.47,0.42,0.58
1,Lukoil,0.49,0.13,0.27,0.37,0.46
5,Phosagro,0.41,0.29,0.38,0.38,0.51
4,Polyus,0.36,0.0,0.35,0.33,0.35
3,Rosseti,0.44,0.13,0.33,0.37,0.45
7,Tatneft,0.3,0.14,0.44,0.35,0.41
812,«Общероссийское отраслевое объединение работодателей электроэнергетики,0.47,0.22,0.45,0.44,0.6
505,АО «Калининградский янтарный комбинат,0.5,0.0,0.42,0.43,0.53
1420,Акрон 2022,0.35,0.02,0.33,0.32,0.32
1421,ВК 2022,0.35,0.0,0.47,0.38,0.45
1422,ВТБ 2022,0.35,0.92,0.3,0.41,0.56
1423,ГК Дело 2022,0.33,0.48,0.33,0.35,0.44
6,ДОМ.РФ,0.42,0.57,0.28,0.39,0.52
1425,Евраз 2022,0.33,0.4,0.32,0.34,0.4
319,ПАО «ГМК «Норильский никель,0.43,0.12,0.3,0.35,0.42
1120,ПАО «Северсталь,0.44,0.39,0.26,0.37,0.47
1426,ПАО ММК 2022,0.49,0.12,0.21,0.35,0.42
1427,Селигдар 2022,0.36,0.17,0.53,0.42,0.55
2,Центр Корпоративной Медицины,0.21,0.52,0.44,0.37,0.45
1428,ЭЛ5-Энерго 2022,0.33,0.35,0.36,0.34,0.42
