index,company,env,social,gov,all_letters,on_letters,top_env,top_soc,top_gov,top,diff %,diff_point
812,«Общероссийское отраслевое объединение работодателей электроэнергетики,0.47,0.22,0.45,0.44,0.6,4,10,4,1,85.0,17.0
505,АО «Калининградский янтарный комбинат,0.5,0.0,0.42,0.43,0.53,1,18,7,2,90.0,18.0
1427,Селигдар 2022,0.36,0.17,0.53,0.42,0.55,12,11,1,3,70.0,14.0
0,Lenenergo,0.39,0.32,0.47,0.42,0.58,10,8,3,4,60.0,12.0
1422,ВТБ 2022,0.35,0.92,0.3,0.41,0.56,13,1,16,5,35.0,7.0
6,ДОМ.РФ,0.42,0.57,0.28,0.39,0.52,8,2,17,6,40.0,8.0
1421,ВК 2022,0.35,0.0,0.47,0.38,0.45,14,19,2,7,60.0,12.0
5,Phosagro,0.41,0.29,0.38,0.38,0.51,9,9,8,8,35.0,7.0
1120,ПАО «Северсталь,0.44,0.39,0.26,0.37,0.47,6,6,19,9,-40.0,-8.0
1,Lukoil,0.49,0.13,0.27,0.37,0.46,3,14,18,10,5.0,1.0
3,Rosseti,0.44,0.13,0.33,0.37,0.45,5,13,11,11,-5.0,-1.0
2,Центр Корпоративной Медицины,0.21,0.52,0.44,0.37,0.45,20,3,5,12,5.0,1.0
1423,ГК Дело 2022,0.33,0.48,0.33,0.35,0.44,17,4,13,13,-35.0,-7.0
319,ПАО «ГМК «Норильский никель,0.43,0.12,0.3,0.35,0.42,7,15,15,14,-25.0,-5.0
7,Tatneft,0.3,0.14,0.44,0.35,0.41,19,12,6,15,-40.0,-8.0
1426,ПАО ММК 2022,0.49,0.12,0.21,0.35,0.42,2,16,20,16,-70.0,-14.0
1425,Евраз 2022,0.33,0.4,0.32,0.34,0.4,16,5,14,17,-60.0,-12.0
1428,ЭЛ5-Энерго 2022,0.33,0.35,0.36,0.34,0.42,18,7,9,18,-70.0,-14.0
4,Polyus,0.36,0.0,0.35,0.33,0.35,11,20,10,19,-55.00000000000001,-11.0
1420,Акрон 2022,0.35,0.02,0.33,0.32,0.32,15,17,12,20,-85.0,-17.0
