index,company,env,social,gov,all_letters,on_letters
0,Lenenergo,0.32,0.31,0.54,0.37,0.59
1,Lukoil,0.62,0.37,0.37,0.43,0.67
5,Phosagro,0.46,0.34,0.48,0.39,0.65
4,Polyus,0.51,0.39,0.54,0.45,0.73
3,Rosseti,0.51,0.43,0.38,0.44,0.67
7,Tatneft,0.51,0.37,0.68,0.46,0.76
812,«Общероссийское отраслевое объединение работодателей электроэнергетики,0.15,0.37,0.1,0.3,0.38
505,АО «Калининградский янтарный комбинат,0.31,0.17,0.08,0.19,0.3
1420,Акрон 2022,0.62,0.48,0.55,0.52,0.84
1421,ВК 2022,0.26,0.29,0.26,0.28,0.42
1422,ВТБ 2022,0.34,0.49,0.27,0.43,0.57
1423,ГК Дело 2022,0.47,0.46,0.47,0.46,0.71
1424,Глобалтранс,0.0,0.0,0.0,0.0,0.0
6,ДОМ.РФ,0.47,0.41,0.34,0.41,0.62
1425,Евраз 2022,0.55,0.47,0.38,0.47,0.7
319,ПАО «ГМК «Норильский никель,0.57,0.43,0.38,0.45,0.69
1120,ПАО «Северсталь,0.69,0.54,0.4,0.55,0.78
1426,ПАО ММК 2022,0.75,0.48,0.48,0.53,0.83
1427,Селигдар 2022,0.33,0.26,0.51,0.34,0.55
2,Центр Корпоративной Медицины,0.31,0.5,0.25,0.42,0.55
1428,ЭЛ5-Энерго 2022,0.55,0.44,0.58,0.49,0.8
